idPaymentMethod,idCustomer,paymentMethodType,paymentDetails
98,385,switch,4905498589393694168
99,33,jcb,3557599594039242
100,384,jcb,3553044034480916
101,448,jcb,3531468824557798
102,146,switch,4905579413188773
103,476,jcb,3581860622361747
104,458,diners-club-enroute,201664276822137
105,497,mastercard,5010126359690062
106,376,jcb,3563449651675086
107,461,bankcard,5602252783087651
108,257,jcb,3589709214890930
109,438,switch,490325723862318795
110,431,diners-club-us-ca,5450537938227449
111,217,mastercard,5291247172729505
112,237,maestro,0604016876734605
113,327,maestro,6759757000775051
114,217,maestro,676239175225434927
115,366,mastercard,5335103837921219
116,104,jcb,3580651207355431
117,461,jcb,3540176852007045
118,301,bankcard,5610418063444926
119,96,instapayment,6389915688578027
120,320,jcb,3580015319330676
121,142,diners-club-carte-blanche,30191260212890
122,238,china-unionpay,5602257167512244281
123,295,jcb,3546776251628848
124,436,jcb,3572770796537231
125,327,jcb,3545685478608809
126,310,bankcard,5610197896969115
127,193,jcb,3560136127694709
128,63,jcb,3588017518187685
129,495,visa-electron,4026680675780267
130,328,jcb,3571590332534976
131,358,jcb,3541045936043582
132,439,jcb,3568828110566454
133,492,switch,633110787435168973
134,461,jcb,3541948327939658
135,207,jcb,3586244776119034
136,476,jcb,3540428563033079
137,65,maestro,58930190346072624
138,4,jcb,3575012381072234
139,306,bankcard,5602231528719646
140,119,americanexpress,374283643499494
141,413,visa-electron,4917755900714869
142,462,visa,4097954604341630
143,25,mastercard,5100133813939664
144,11,switch,5641822801146211845
145,168,americanexpress,374288644356940
146,302,switch,490384745771223731
147,403,diners-club-enroute,201420542235871
148,31,switch,6759502423326179787
149,183,jcb,3568949826647311
150,499,jcb,3558437143779761
151,473,china-unionpay,560225648953765565
152,412,jcb,3554817560076417
153,289,mastercard,5010124795526701
154,252,jcb,3583803403282763
155,219,americanexpress,374288947470604
156,197,bankcard,5602240723773373
157,272,visa-electron,4175004453032966
158,71,diners-club-enroute,201440068469860
159,70,mastercard,5002351747101578
160,392,jcb,3538027344010440
161,12,diners-club-international,36373631883179
162,318,jcb,3586608886449491
163,493,americanexpress,374283814016325
164,439,maestro,5038944934829536
165,427,jcb,3560192465006469
166,462,jcb,3543109312574772
167,133,diners-club-carte-blanche,30536649076483
168,317,jcb,3534536259327544
169,118,jcb,3559313562707592
170,479,diners-club-carte-blanche,30028513438015
171,78,laser,6304368916645683
172,242,jcb,3528911537895018
173,357,switch,4936291169126758
174,216,jcb,3553890645579391
175,264,jcb,3581929554874611
176,278,laser,6706200098238009243
177,183,mastercard,5100170942297937
178,418,jcb,3540674714208900
179,312,china-unionpay,56022304298971500
180,148,maestro,0604412724169809205
181,276,instapayment,6383542049441723
182,389,jcb,3532961963822782
183,67,americanexpress,373534247863126
184,186,americanexpress,378670813439464
185,265,jcb,3547857922729824
186,39,jcb,3556538434412269
187,152,jcb,3557533983013914
188,444,americanexpress,337941522319051
189,394,bankcard,5602226953103027
190,388,maestro,6759620463247079622
191,314,laser,677198921395657871
192,287,americanexpress,374622785653907
193,358,maestro,675975529386724601
194,134,americanexpress,374283890414402
195,108,jcb,3529022206765257
196,418,switch,493693990857130844
197,270,mastercard,5007664171955078
198,307,jcb,3541450764274061
199,109,laser,67063002659519929
200,265,diners-club-carte-blanche,30509283013286
201,426,diners-club-enroute,201800542453873
202,120,visa-electron,4913979281277858
203,116,maestro,6762077848891662
204,75,jcb,3558975639120750
205,378,visa-electron,4917065406501988
206,40,mastercard,5410790200510302
207,309,diners-club-enroute,201791942817785
208,465,instapayment,6383279985406705
209,401,americanexpress,374283929756344
210,136,mastercard,5048377843333878
211,147,bankcard,5610169223314992
212,152,mastercard,5002352671173492
213,175,jcb,3567763118582032
214,334,diners-club-carte-blanche,30349481873011
215,460,visa-electron,4026393068530386
216,368,china-unionpay,560225263807397910
217,167,jcb,3537883851639414
218,219,jcb,3570964788438126
219,60,solo,6334787433868105072
220,92,americanexpress,372301117219404
221,33,jcb,3584198781864665
222,351,visa-electron,4175000064901086
223,236,laser,630400794252671654
224,212,switch,6759649759223633
225,215,jcb,3573601476102492
226,261,jcb,3583174039317112
227,68,jcb,3580509549016873
228,42,mastercard,5560020185076592
229,119,switch,6333601446106025387
230,331,jcb,3550319810872152
231,109,bankcard,5602253134727276
232,258,visa-electron,4175005170913990
233,223,jcb,3586475031402340
234,162,maestro,50180759649338066
235,52,switch,564182927273348283
236,284,maestro,630451858680761110
237,285,maestro,6759264857005038954
238,187,jcb,3558066532763308
239,124,bankcard,5602237231249888
240,362,visa-electron,4844592489562858
241,179,diners-club-enroute,201704181320908
242,267,laser,67062527169378581
243,249,switch,5641828314670223
244,23,jcb,3559244488516041
245,59,jcb,3534630399025504
246,176,jcb,3561470288153588
247,404,maestro,0604763712970576
248,175,americanexpress,374459574234833
249,341,jcb,3587557441034786
250,290,switch,4905318233215866
251,210,china-unionpay,5602256932145930
252,7,mastercard,5559557148190245
253,493,jcb,3546070367190970
254,341,china-unionpay,5610232098834847548
255,345,jcb,3542633759822171
256,47,americanexpress,374622926803361
257,393,jcb,3534198274405183
258,499,visa-electron,4405292309343529
259,474,china-unionpay,56022379931881225
260,257,maestro,67623380294073004
261,298,jcb,3550671983846573
262,347,jcb,3579521560872251
263,396,jcb,3573247480832425
264,174,jcb,3557212797510767
265,341,jcb,3548408040130641
266,80,mastercard,5010124751761219
267,64,jcb,3555590762614561
268,444,bankcard,5602231109149635
269,253,diners-club-carte-blanche,30525467852323
270,429,jcb,3558051587527055
271,45,bankcard,5602228661732543
272,47,jcb,3541828216717920
273,441,mastercard,5100137936588399
274,464,jcb,3543862373265751
275,28,mastercard,5566168027484914
276,307,jcb,3582147378976822
277,465,jcb,3560687528940299
278,224,visa-electron,4917021821486081
279,101,americanexpress,374622987341889
280,372,jcb,3576561587928960
281,400,mastercard,5002356275974908
282,95,diners-club-carte-blanche,30474647288621
283,351,mastercard,5100171702769016
284,326,diners-club-enroute,201582767972551
285,191,china-unionpay,561008141756742057
286,479,jcb,3570214295642764
287,241,bankcard,5602251986149763
288,386,jcb,3572588199179322
289,168,bankcard,5610112094740614
290,194,mastercard,5100147457362181
291,329,mastercard,5002351391909714
292,82,americanexpress,337941192822517
293,417,maestro,6304995436085725
294,432,china-unionpay,5602222864824736
295,169,jcb,3584796016246838
296,209,bankcard,5602220973079523
297,79,jcb,3566322447233162
298,498,jcb,3531436386366718
299,250,switch,6759110249924696698
300,453,jcb,3535093237296101
301,365,maestro,5020204429884705623
302,232,switch,6333277698188165
303,245,visa-electron,4405984763192182
304,160,jcb,3580307948817425
305,403,china-unionpay,5602233037365846
306,94,visa,4076392872123734
307,156,china-unionpay,56022451229364865
308,79,jcb,3535242999217967
309,347,jcb,3577670691658774
310,310,jcb,3552453328119380
311,324,jcb,3560924919661303
312,24,diners-club-carte-blanche,30446284968079
313,44,diners-club-international,36906114404896
314,413,jcb,3542548720710596
315,29,china-unionpay,56108360277854015
316,199,switch,490575211238937826
317,168,switch,5641827571335896632
318,492,laser,67065529724381149
319,349,diners-club-carte-blanche,30015642274080
320,391,jcb,3574811800499048
321,216,jcb,3585626011511457
322,339,jcb,3584964530469654
323,197,jcb,3551105474212630
324,196,diners-club-enroute,201940414764591
325,462,jcb,3576327240492541
326,370,jcb,3582491509074085
327,75,jcb,3579824228599468
328,169,mastercard,5100139180805032
329,458,maestro,5020380787000042
330,387,jcb,3562813795746080
331,375,jcb,3576492857314022
332,137,americanexpress,337941821283792
333,269,jcb,3549486308828261
334,263,jcb,3588063618798492
335,131,maestro,5893978000555328963
336,397,diners-club-enroute,201528683274903
337,15,solo,6334611025504085551
338,387,jcb,3571906371477994
339,184,diners-club-carte-blanche,30105983751984
340,163,jcb,3587336130713749
341,422,maestro,5018475256379440
342,386,jcb,3574630644172706
343,492,switch,6759334325766636354
344,214,maestro,67615545398737098
345,444,visa-electron,4026668956235168
346,339,visa-electron,4508405702997131
347,111,maestro,676182725540666913
348,328,switch,490378231436499444
349,79,jcb,3553014315995502
350,79,mastercard,5002359826032309
351,194,maestro,6762131929138712279
352,317,maestro,5020201258637777610
353,148,maestro,6763447804187390433
354,455,diners-club-us-ca,5408584811299502
355,50,switch,4911021125425336694
356,302,maestro,676240450235132499
357,301,diners-club-us-ca,5491812207691893
358,181,switch,4903860180841253
359,246,jcb,3551784486104397
360,98,diners-club-enroute,201652376869900
361,203,jcb,3560322979072174
362,139,bankcard,5602216556853177
363,372,maestro,0604224878703930758
364,361,mastercard,5007666095228714
365,465,visa-electron,4405376205972273
366,473,instapayment,6385940954071493
367,332,visa-electron,4844458214641617
368,86,mastercard,5002352409825827
369,208,jcb,3530341403210280
370,405,visa,4041599479706
371,374,china-unionpay,5602244958278959310
372,226,bankcard,5602219158316619
373,439,mastercard,5007663040256981
374,303,jcb,3556263142595368
375,200,jcb,3546366429923949
376,89,diners-club-carte-blanche,30289127577875
377,463,mastercard,5123053863697413
378,9,jcb,3576860347737962
379,206,americanexpress,374622528709198
380,252,diners-club-enroute,201592083607427
381,411,laser,630414180893795785
382,464,americanexpress,374288148149122
383,407,maestro,5893097886838953122
384,30,visa-electron,4913136075443218
385,476,maestro,676266584460784704
386,470,americanexpress,374283924123540
387,345,switch,4903839925157688
388,344,bankcard,5602236682356010
389,301,switch,6759347666447541942
390,17,jcb,3579745734350809
391,200,laser,67067057116491076
392,406,diners-club-enroute,201946374677004
393,291,diners-club-enroute,201873640949514
394,496,maestro,5038474521626872250
395,320,laser,677159872741656918
396,244,diners-club-carte-blanche,30539735297732
397,7,laser,630423283828209564
398,307,maestro,675969622422786870
399,312,instapayment,6373693132892603
400,170,jcb,3528011046124180
401,448,china-unionpay,56022540106298194
402,267,china-unionpay,56102502256216049
403,182,diners-club-enroute,201953472266946
404,477,maestro,67619954979089117
405,115,jcb,3536971699792429
406,54,diners-club-carte-blanche,30345630573684
407,39,jcb,3534433692692355
408,298,americanexpress,374283088786777
409,250,switch,4905615819545817724
410,300,jcb,3560184533457303
411,372,maestro,50382425056565445
412,64,jcb,3564212660400782
413,110,jcb,3540448338815014
414,482,maestro,676228124708926655
415,240,jcb,3545072394912823
416,252,americanexpress,342005028655559
417,171,jcb,3554088313430851
418,490,visa-electron,4175000407638916
419,411,jcb,3540485921214171
420,351,jcb,3565407460764242
421,53,maestro,589313191469743927
422,77,maestro,060448958205469920
423,242,mastercard,5483028088789835
424,188,mastercard,5100170649438107
425,414,visa-electron,4844661826675622
426,96,mastercard,5100137310537244
427,492,jcb,3579150367601067
428,338,jcb,3585860477298107
429,76,china-unionpay,5602211708138676
430,301,jcb,3567633516005045
431,104,jcb,3556346304754780
432,467,mastercard,5002351092338627
433,31,mastercard,5100149535380334
434,186,jcb,3546960721553014
435,28,jcb,3543295394741049
436,240,maestro,6762398890697443979
437,430,jcb,3532090824515441
438,136,mastercard,5100141064119472
439,197,switch,4936592977243325
440,157,jcb,3563092926995036
441,30,americanexpress,337941756383260
442,106,visa,4932325342943897
443,431,instapayment,6391352049062184
444,36,china-unionpay,5602226127219105100
445,132,jcb,3564786677381283
446,115,china-unionpay,5602253375218246468
447,49,jcb,3575593983793814
448,208,maestro,5038129766028049
449,484,americanexpress,374622179522940
450,44,solo,6767159919623943899
451,51,jcb,3529480211447685
452,91,jcb,3562144071990238
453,211,maestro,5038800725347890
454,95,visa-electron,4913561197321457
455,142,jcb,3561217450238139
456,245,americanexpress,337941638951516
457,477,jcb,3551407881074466
458,114,jcb,3552665680873516
459,101,diners-club-us-ca,5595372563575052
460,216,jcb,3580314725367996
461,377,mastercard,5002351184176737
462,340,jcb,3583356236612078
463,454,bankcard,5610946599372799
464,485,diners-club-international,36502760257413
465,209,jcb,3572467357505133
466,405,mastercard,5108759741762562
467,131,maestro,502011001801910878
468,351,mastercard,5100132534989834
469,44,jcb,3586361638088197
470,151,mastercard,5010123884683639
471,170,maestro,63040255139328264
472,396,jcb,3540943297390496
473,185,mastercard,5281039296413047
474,168,jcb,3552351250189688
475,431,diners-club-international,36126927540055
476,304,diners-club-enroute,201685276285439
477,40,diners-club-carte-blanche,30224807805403
478,386,visa-electron,4405660987660325
479,94,laser,6709126843294110137
480,45,laser,670980241859788865
481,69,jcb,3536563122725249
482,459,jcb,3581389343447742
483,443,jcb,3558823854121360
484,191,jcb,3561756164489397
485,315,jcb,3550751792124907
486,3,jcb,3572943429455747
487,327,jcb,3580294588255431
488,455,jcb,3528747780230705
489,435,diners-club-international,36351736257929
490,443,bankcard,5602244006452275
491,298,mastercard,5002354167534922
492,206,visa,4041599834488581
493,338,jcb,3544224437337515
494,302,jcb,3559073149168128
495,339,instapayment,6388351714080765
496,274,maestro,0604466116453516783
497,377,china-unionpay,56022188298935809
498,232,mastercard,5473619509746958
499,180,jcb,3541064650141225
500,288,jcb,3541253521503115
501,371,jcb,3540247687993574
502,253,mastercard,5100145850008542
503,209,visa-electron,4913686983728423
504,382,bankcard,5602231480990920
505,172,maestro,675943871967874929
506,80,jcb,3540521242687818
507,448,jcb,3584530482166265
508,65,jcb,3571386007934173
509,334,diners-club-carte-blanche,30241753693039
510,14,americanexpress,371030435200116
511,355,jcb,3541385297862141
512,452,bankcard,5602242691114036
513,285,jcb,3546725899504556
514,404,switch,490577093613046300
515,438,mastercard,5048372280345477
516,164,jcb,3571734689836341
517,413,mastercard,5100139438051520
518,158,visa-electron,4175005939502555
519,130,jcb,3532589420234794
520,84,bankcard,5602214402684771
521,100,jcb,3587320127525373
522,158,mastercard,5007666083593970
523,91,jcb,3558832960496160
524,196,jcb,3585097443364735
525,310,americanexpress,337941274723153
526,243,diners-club-carte-blanche,30519097993086
527,452,switch,6331105502508710
528,5,jcb,3537851987767425
529,41,jcb,3553928018236890
530,305,jcb,3559233508142342
531,450,jcb,3552983738250037
532,499,jcb,3556384344050638
533,170,jcb,3547943107672813
534,468,jcb,3555054328256011
535,387,jcb,3573574137543133
536,305,bankcard,5602210391297955
537,284,jcb,3535841613726335
538,307,maestro,5038683945960522
539,235,jcb,3531068721557113
540,313,laser,67710471833419206
541,385,china-unionpay,560224631773157834
542,161,diners-club-carte-blanche,30057954505867
543,118,mastercard,5100131644004997
544,369,china-unionpay,56022534827138748
545,229,visa-electron,4175009517584464
546,125,jcb,3560459004398024
547,68,diners-club-us-ca,5574893233396285
548,260,jcb,3530678020922023
549,144,americanexpress,374283405077579
550,386,jcb,3573187374568588
551,256,jcb,3584743402811775
552,328,maestro,0604873770595009987
553,311,visa-electron,4175002240680790
554,207,visa,4069145445277
555,134,jcb,3556033342969386
556,170,china-unionpay,5602242091890946
557,177,americanexpress,374749119025203
558,155,diners-club-carte-blanche,30117901568515
559,315,visa-electron,4175001522509164
560,486,laser,67068001401615261
561,85,jcb,3563824055399113
562,48,jcb,3565029928959212
563,297,visa,4542856144376078
564,35,bankcard,5602238056265256
565,383,diners-club-enroute,201817943748958
566,391,visa-electron,4405048314086150
567,478,mastercard,5300854157025137
568,445,jcb,3544815830349617
569,300,jcb,3546194029939077
570,489,jcb,3563313372795104
571,445,jcb,3529949127236556
572,128,jcb,3537458795920350
573,355,jcb,3578424652759901
574,77,maestro,6763569640827751929
575,4,maestro,63049073334657697
576,145,solo,6334166635025707241
577,451,jcb,3564234552887033
578,451,americanexpress,349941668678530
579,414,visa-electron,4026817339837543
580,60,jcb,3562567107387336
581,339,china-unionpay,56022288591575862
582,314,laser,677155069107487103
583,15,maestro,50382778301213736
584,195,americanexpress,376876129786421
585,19,diners-club-us-ca,5571025250470031
586,466,jcb,3531096339596975
587,430,jcb,3543034198331164
588,32,visa-electron,4844855526058101
589,256,visa-electron,4026040296670225
590,215,americanexpress,372301685590566
591,332,jcb,3573152659695944
592,456,china-unionpay,560222589442967623
593,287,jcb,3563900201886433
594,94,switch,6759566802529040
595,127,maestro,63044337253224739
596,221,jcb,3565454324916188
597,350,jcb,3589726606833385
598,233,jcb,3584041008002141
599,70,americanexpress,337941227429510
600,41,jcb,3581888128175345
601,273,diners-club-us-ca,5572262178969518
602,121,diners-club-enroute,201967608453699
603,146,jcb,3571035551972804
604,45,jcb,3568993970670547
605,205,diners-club-carte-blanche,30009806153081
606,25,jcb,3563187744731017
607,282,maestro,5038220286219175183
608,235,china-unionpay,5602249996673897
609,412,jcb,3543847648380469
610,142,jcb,3537319669933434
611,107,maestro,6761268727233503
612,165,switch,4905150942282578068
613,437,diners-club-carte-blanche,30295613680966
614,472,jcb,3573303538189233
615,166,mastercard,5100132363211235
616,333,jcb,3573761294022510
617,464,jcb,3539146389083994
618,103,mastercard,5421729358287559
619,269,switch,5641820504929428
620,317,mastercard,5100174564615566
621,71,visa,4041593541642
622,172,bankcard,5602210911551931
623,183,bankcard,5602226657025336
624,462,mastercard,5231478995016993
625,478,visa-electron,4844108408029646
626,126,jcb,3583244781340453
627,26,mastercard,5048374753009499
628,239,jcb,3580354592644804
629,262,jcb,3543635059799115
630,364,switch,493606286156905069
631,57,americanexpress,344932018169267
632,303,instapayment,6392359474015073
633,271,jcb,3562631420949063
634,248,mastercard,5211367462939320
635,436,mastercard,5100172052303117
636,346,mastercard,5285912922893202
637,450,mastercard,5417881948277032
638,464,visa-electron,4175000325276377
639,55,jcb,3528917654713165
640,250,mastercard,5010122417007001
641,89,jcb,3541341591850290
642,392,americanexpress,370181151718285
643,37,diners-club-enroute,201548576084813
644,134,switch,4905124061541973938
645,107,mastercard,5465684187138639
646,332,laser,67068118218070561
647,112,jcb,3528637269811408
648,1,americanexpress,374283645602715
649,359,mastercard,5108756853618533
650,388,jcb,3550947090536343
651,278,maestro,6762055310581672
652,251,diners-club-us-ca,5585480028546659
653,162,maestro,6763649799118694968
654,111,laser,67067265690023567
655,199,switch,490363929816652493
656,259,jcb,3538870024619604
657,473,jcb,3542533702367318
658,298,maestro,67618561382081572
659,70,jcb,3529563631163170
660,280,jcb,3559965787292138
661,405,jcb,3556029266817072
662,132,jcb,3574050391604605
663,147,instapayment,6372339099596156
664,340,maestro,6763279341433873204
665,89,jcb,3581197670261689
666,163,jcb,3584790876181623
667,57,americanexpress,374283941383077
668,198,visa-electron,4405059330349894
669,215,maestro,503853691887935945
670,239,jcb,3534089367959956
671,369,switch,6759978295905983218
672,113,bankcard,5602239056553527
673,169,jcb,3587591723512201
674,448,americanexpress,337941331197318
675,402,jcb,3551068389037106
676,499,jcb,3528488426954842
677,51,jcb,3528923094158615
678,152,jcb,3554650838879266
679,104,jcb,3536272052897487
680,335,switch,4903748765256817
681,479,americanexpress,374283594557415
682,425,jcb,3561823436907190
683,314,diners-club-enroute,201811844875200
684,21,switch,490524250302042305
685,363,americanexpress,373385536388477
686,128,jcb,3584352426978683
687,308,americanexpress,341273587483877
688,478,diners-club-enroute,201410230499806
689,301,jcb,3576627766248296
690,136,china-unionpay,5602249308456486
691,349,jcb,3549988189624495
692,21,jcb,3537887213470673
693,259,bankcard,5602213292384054
694,172,jcb,3565319463415542
695,357,switch,490356917826286104
696,105,jcb,3577561704050507
697,139,china-unionpay,5602213448227272
698,157,jcb,3577752407994014
699,214,jcb,3584852468681574
700,108,bankcard,5602244196082270
701,181,laser,6771654303047848384
702,203,americanexpress,337941915487044
703,354,jcb,3558340993149210
704,81,visa,4017950653773175
705,182,mastercard,5002356271494885
706,161,solo,676762598057528158
707,346,visa,4842388888950568
708,26,jcb,3587886533662547
709,464,jcb,3565264471183718
710,485,jcb,3557440091379973
711,126,jcb,3585326280880077
712,92,jcb,3536160205785537
713,500,jcb,3550256194577769
714,253,americanexpress,374622067008499
715,476,jcb,3539820951709901
716,456,jcb,3551778294049109
717,318,jcb,3553367925532895
718,491,jcb,3581704980070385
719,12,instapayment,6391993661229054
720,399,jcb,3569681971573559
721,60,jcb,3534093343763110
722,199,jcb,3579383119401961
723,228,switch,633324790427976694
724,386,visa,4041596649264017
725,353,maestro,5020137669412654668
726,319,diners-club-carte-blanche,30148306527863
727,383,jcb,3563516301378616
728,387,china-unionpay,56108942073108215
729,21,jcb,3563956603947355
730,183,diners-club-enroute,201961195103213
731,41,mastercard,5585495671285165
732,206,jcb,3530853549513690
733,251,jcb,3575027482178656
734,496,jcb,3544263561987661
735,192,jcb,3543820500282586
736,458,visa,4041598632446
737,157,switch,4903138619344987
738,269,americanexpress,337941445702375
739,234,jcb,3535073482874596
740,310,jcb,3568683184522986
741,194,mastercard,5108753129838326
742,35,jcb,3538972785994067
743,270,jcb,3543261956761528
744,323,jcb,3544450599109273
745,477,bankcard,5602245802307183
746,266,jcb,3573689486651541
747,465,jcb,3548274841996097
748,57,jcb,3580389016676891
749,208,mastercard,5296888029998333
750,378,jcb,3576458616480347
751,97,diners-club-international,36407093565252
752,262,china-unionpay,5602245912520881417
753,291,solo,633456540498186602
754,153,maestro,50388268794826586
755,436,laser,6709475700923985
756,164,jcb,3572054625926166
757,266,mastercard,5539045697259962
758,312,mastercard,5108756311638941
759,433,visa-electron,4175003152117037
760,83,china-unionpay,5602225358635476996
761,59,diners-club-enroute,201788248889658
762,279,jcb,3566492898221824
763,460,jcb,3566257122523042
764,15,diners-club-carte-blanche,30281369296132
765,402,jcb,3533651544675036
766,417,china-unionpay,561019494127289200
767,337,americanexpress,374214713417355
768,149,jcb,3579436019695494
769,56,visa-electron,4175006361302472
770,393,visa-electron,4405271262219173
771,147,jcb,3536848526893184
772,16,jcb,3557192059801312
773,288,mastercard,5580214763223330
774,386,diners-club-enroute,201913824384789
775,150,diners-club-carte-blanche,30582704050930
776,216,mastercard,5487600085972428
777,387,solo,6767369309235912795
778,257,jcb,3562537338392983
779,241,bankcard,5610893589614907
780,120,maestro,676246158121635681
781,30,switch,4903054658602682
782,415,maestro,503896312321974866
783,428,jcb,3576540788018250
784,219,jcb,3557945974535939
785,39,maestro,6763111925718120067
786,2,china-unionpay,5602248716554981
787,131,bankcard,5602236671222173
788,210,jcb,3578679317917513
789,323,solo,6334798575480820
790,433,china-unionpay,56102754087063351
791,77,jcb,3539385572966041
792,377,jcb,3537248449818708
793,377,jcb,3577896081296574
794,180,jcb,3560111352886106
795,258,visa-electron,4026412299903517
796,166,diners-club-enroute,201471560089799
797,293,visa,4041590175261
798,201,visa-electron,4913163011182999
799,359,laser,6706004075417151986
800,187,maestro,50200271841157498
801,406,jcb,3531667512086156
802,132,diners-club-enroute,201602546879859
803,104,jcb,3528719843336886
804,191,maestro,5893343167646309
805,268,mastercard,5100148090344859
806,94,mastercard,5010121996128154
807,411,jcb,3575703883472118
808,142,jcb,3548380652631408
809,137,jcb,3539940354854011
810,318,jcb,3585497263490695
811,387,mastercard,5358313021050673
812,475,bankcard,5610218695664614
813,491,jcb,3583348201849090
814,9,jcb,3579175656149148
815,193,jcb,3544796464345156
816,152,switch,4905486594975709313
817,317,diners-club-carte-blanche,30018478671361
818,167,jcb,3539075251476616
819,204,jcb,3536148897429894
820,153,jcb,3557200312336214
821,498,jcb,3546323780431285
822,267,visa-electron,4508214897488835
823,279,jcb,3569018639892099
824,466,laser,67719779669666984
825,281,jcb,3544880972319927
826,1,mastercard,5108758275380460
827,258,china-unionpay,5610315673669385895
828,500,visa-electron,4175003072253896
829,453,jcb,3572409411526150
830,380,bankcard,5602234232382461
831,194,jcb,3580346280578781
832,352,diners-club-carte-blanche,30216869734679
833,207,maestro,50187142754896124
834,107,switch,6333107506905031842
835,298,jcb,3586828623730157
836,189,diners-club-carte-blanche,30391969747291
837,26,mastercard,5048376905541220
838,85,jcb,3540635910156078
839,437,jcb,3578987779438443
840,163,bankcard,5602232740800867
841,242,americanexpress,374622476302301
842,177,switch,4905963417052508444
843,179,maestro,06043284425917818
844,94,maestro,5038703419578244
845,379,jcb,3547284416567612
846,122,diners-club-enroute,201856313428288
847,101,mastercard,5343181670747651
848,292,mastercard,5100149358840901
849,120,jcb,3538303992538465
850,448,mastercard,5100175653565554
851,78,jcb,3567505107763630
852,319,switch,5641825283127033398
853,103,jcb,3574731020782678
854,41,jcb,3561569504646018
855,95,jcb,3558428713179011
856,109,jcb,3538707752414446
857,281,diners-club-carte-blanche,30152631229419
858,59,jcb,3549417651527325
859,150,jcb,3571379243989879
860,213,diners-club-enroute,201658461460547
861,390,bankcard,5602242071567605
862,87,jcb,3578664366994019
863,97,americanexpress,340731493539398
864,412,americanexpress,345737259396522
865,99,jcb,3564885659340067
866,59,jcb,3531176789801255
867,483,jcb,3580612144219163
868,18,mastercard,5010126687257410
869,152,americanexpress,374622707232640
870,363,visa,4041591960981133
871,470,visa-electron,4026737432433588
872,307,maestro,58931290257483221
873,114,jcb,3569923551357841
874,132,maestro,6761099704910080
875,148,solo,6334793164188059978
876,340,switch,4905978637632683
877,327,bankcard,5602237129892203
878,73,solo,676770117976784360
879,296,laser,6709733420203414655
